2025-26,OPP 1,OPP 2,OPP 3,OPP 4,OPP 5,OPP 6,OPP 7,OPP 8,Travel Partner Mileage
Arizona State,,,,,,,,,350
Cal Baptist,,,,,,,,,
Air Force,,,,,,,,,70
Northern Colorado,,,,,,,,,
Utah Valley,,,,,,,,,400
Wyoming,,,,,,,,,
Iowa State,,,,,,,,,90
Northern Iowa,,,,,,,,,
North Dakota State,,,,,,,,,200
South Dakota State,,,,,,,,,
Oklahoma State,,,,,,,,,80
Oklahoma,,,,,,,,,
West Virginia,,,,,,,,,800
Missouri,,,,,,,,,
,,,,,,,,,1990
